en,mni-Mtei
"the other hand, in respect of certain faculties, a purely intelligible object—","ꯑꯃꯔꯣꯃꯗꯥ, ꯑꯀꯛꯅꯕꯥ ꯐꯦꯀꯜꯇꯤꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗꯥ, ꯃꯄꯨꯡ ꯐꯥꯅꯥ ꯂꯧꯁꯤꯅꯕꯥ ꯌꯥꯕꯥ ꯄꯣꯠꯁꯛ ꯑꯃꯥ—"
"intelligible, because its action cannot be ascribed to sensuous receptivity","ꯋꯥꯈꯜ ꯂꯧꯁꯤꯡ ꯂꯩꯕꯥ, ꯃꯔꯃꯗꯤ ꯃꯁꯤꯒꯤ ꯑꯦꯛꯁꯟ ꯑꯁꯤ ꯁꯦꯟꯁ꯭ꯌꯨꯁ ꯔꯤꯁꯦꯄꯇꯤꯕꯇꯥ ꯑꯦꯁ꯭ꯄꯤꯔꯦꯁꯟ ꯇꯧꯕꯥ ꯌꯥꯔꯣꯏ"
"These faculties are understanding and reason. The latter, especially, is in a",ꯍꯥꯌꯔꯤꯕꯥ ꯐꯦꯀꯜꯇꯤꯁꯤꯡ ꯑꯁꯤ ꯂꯧꯁꯤꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯃꯔꯝ ꯂꯩ꯫
"peculiar manner distinct from all empirically-conditioned faculties, for it","ꯑꯦꯝꯄꯤꯔꯤꯑꯦꯜ-ꯀꯟꯗꯤꯁꯟ ꯇꯧꯔꯕꯥ ꯐꯦꯀꯜꯇꯤ ꯄꯨꯝꯅꯃꯛꯇꯒꯤ ꯇꯣꯉꯥꯅꯕꯥ ꯑꯈꯟꯅꯕꯥ ꯃꯑꯣꯡ, ꯃꯁꯤꯒꯤꯗꯃꯛꯇꯥ"
"employs ideas alone in the consideration of its objects, and by means of","ꯃꯁꯤꯒꯤ ꯄꯣꯠꯂꯃꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯈꯟꯅꯕꯗꯥ ꯋꯥꯈꯜꯂꯣꯟ ꯈꯛꯇꯃꯛ ꯊꯕꯛ ꯄꯤꯔꯤ, ꯑꯃꯁꯨꯡ ꯃꯁꯤꯒꯤ ꯈꯨꯠꯊꯥꯡꯗꯥ ."
"these determines the understanding, which then proceeds to make an","ꯍꯥꯌꯔꯤꯕꯁꯤꯡ ꯑꯁꯤꯅꯥ ꯂꯧꯁꯤꯡ ꯑꯁꯤ ꯂꯦꯄꯊꯣꯀꯏ, ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯃꯈꯥ ꯆꯠꯊꯔꯤ ꯑꯃꯁꯨꯡ ."
"empirical use of its own conceptions, which, like the ideas of reason, are","ꯃꯁꯥꯒꯤ ꯑꯣꯏꯕꯥ ꯋꯥꯈꯜꯂꯣꯅꯁꯤꯡꯒꯤ ꯑꯦꯝꯄꯤꯔꯤꯀꯦꯜ ꯑꯣꯏꯅꯥ ꯁꯤꯖꯤꯟꯅꯕꯥ, ꯃꯗꯨ ꯃꯔꯃꯒꯤ ꯋꯥꯈꯜꯂꯣꯅꯁꯤꯡꯒꯨꯝꯅꯥ, ."
pure and non-empirical,ꯄ꯭ꯌꯨꯔ ꯑꯃꯁꯨꯡ ꯅꯟ-ꯑꯦꯝꯄꯤꯔꯤꯀꯦꯜ ꯑꯣꯏꯕꯥ .
"That reason possesses the faculty of causality, or that at least we are","ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯀꯧꯖꯦꯂꯤꯇꯤꯒꯤ ꯐꯦꯀꯜꯇꯤ ꯂꯩ, ꯅꯠꯔꯒꯥ ꯌꯥꯃꯗ꯭ꯔꯕꯗꯥ ꯑꯩꯈꯣꯌꯅꯥ ."
"compelled so to represent it, is evident from the imperatives, which in the","ꯃꯁꯤꯒꯤ ꯔꯤꯞꯔꯖꯦꯟꯇ ꯇꯧꯅꯕꯥ ꯀꯝꯄꯦꯜ ꯇꯧꯔꯕꯥ, ꯏꯝꯄꯦꯔꯦꯇꯤꯕꯁꯤꯡꯗꯒꯤ ꯃꯌꯦꯛ ꯁꯦꯡꯅꯥ ꯎꯕꯥ ꯐꯪꯏ, ꯃꯗꯨꯗꯤ ꯃꯁꯤꯅꯥ ."
sphere of the practical we impose on many of our executive powers. The,ꯁ꯭ꯐꯤꯔ ꯑꯣꯐ ꯗꯤ ꯄ꯭ꯔꯦꯛꯇꯤꯀꯦꯜ ꯑꯩꯈꯣꯌꯅꯥ ꯑꯩꯈꯣꯌꯒꯤ ꯑꯦꯒꯖꯤꯛꯌꯨꯇꯤꯕ ꯄꯥꯋꯔ ꯀꯌꯥꯗꯥ ꯊꯝꯂꯤ꯫
"words I ought express a species of necessity, and imply a connection with","ꯑꯩꯅꯥ ꯇꯉꯥꯏꯐꯗꯕꯥ ꯃꯈꯜ ꯑꯃꯥ ꯐꯣꯡꯗꯣꯀꯄꯥ ꯇꯥꯏ, ꯑꯃꯁꯨꯡ ꯃꯁꯤꯒꯥ ꯃꯔꯤ ꯂꯩꯅꯕꯥ ꯋꯥꯐꯝ ꯑꯃꯥ ꯐꯣꯡꯗꯣꯀꯄꯥ ꯇꯥꯏ꯫"
grounds which nature does not and cannot present to the mind of man,ꯃꯍꯧꯁꯥꯅꯥ ꯃꯤꯒꯤ ꯋꯥꯈꯂꯗꯥ ꯂꯥꯀꯄꯥ ꯅꯠꯇꯦ ꯑꯃꯁꯨꯡ ꯄꯤꯗꯕꯥ ꯒ꯭ꯔꯥꯎꯟꯗꯁꯤꯡ .
"Understanding knows nothing in nature but that which is, or has been, or","ꯂꯧꯁꯤꯅꯕꯥ ꯍꯥꯌꯕꯁꯤ ꯃꯍꯧꯁꯥꯗꯥ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯑꯃꯠꯇꯥ ꯈꯉꯗꯦ ꯑꯗꯨꯕꯨ ꯃꯗꯨ ꯑꯣꯏꯔꯤꯕꯥ, ꯅꯠꯔꯒꯥ ꯂꯩꯔꯝꯕꯥ, ꯅꯠꯔꯒꯥ ꯂꯩꯔꯝꯕꯥ ꯑꯗꯨ꯫"
"than it is in the relations of time in which it stands; indeed, the ought, when",ꯃꯁꯤꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯃꯁꯤꯅꯥ ꯂꯦꯞꯂꯤꯕꯥ ꯃꯇꯃꯒꯤ ꯃꯔꯤꯁꯤꯡꯗꯥ ꯂꯩ;
"we consider merely the course of nature, has neither application nor","ꯑꯩꯈꯣꯌꯅꯥ ꯁꯨꯞꯅꯒꯤ ꯃꯍꯧꯁꯥꯒꯤ ꯀꯣꯔꯁ ꯑꯗꯨ ꯈꯛꯇꯃꯛ ꯂꯧꯏ, ꯑꯦꯞꯂꯤꯀꯦꯁꯟ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ ꯅꯠꯔꯒꯥ ."
"meaning. The question, “What ought to happen in the sphere of nature?” is",ꯋꯥꯡꯟꯊꯣꯛ.
"just as absurd as the question, “What ought to be the properties of a circle?”",“ꯁꯔꯀꯜ ꯑꯃꯒꯤ ꯃꯒꯨꯅꯁꯤꯡ ꯑꯁꯤ ꯀꯔꯤ ꯑꯣꯏꯒꯗꯒꯦ?”
