en,mni-Mtei
To turn your households’ rancour to pure love,ꯑꯗꯣꯃꯒꯤ ꯏꯃꯨꯡꯒꯤ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯔꯅꯀꯣꯔ ꯑꯁꯤ ꯄ꯭ꯌꯨꯔ ꯂꯥꯚꯗꯥ ꯑꯣꯟꯊꯣꯛꯅꯕꯥ .
"More than Prince of cats. O, he’s the courageous captain of",ꯄ꯭ꯔꯤꯟꯁ ꯑꯣꯐ ꯀꯦꯇꯁꯇꯒꯤ ꯍꯦꯟꯅꯥ꯫
"compliments. He fights as you sing prick-song, keeps time, distance,",ꯀꯝꯞꯂꯤꯃꯦꯟꯇ ꯇꯧꯕꯥ꯫
"and proportion. He rests his minim rest, one, two, and the third in",ꯑꯃꯁꯨꯡ ꯄ꯭ꯔꯣꯄꯣꯔꯁꯟ ꯌꯥꯑꯣꯔꯤ꯫
"your bosom: the very butcher of a silk button, a duellist, a duellist;","ꯅꯍꯥꯛꯀꯤ ꯕꯣꯁꯣꯝ: ꯁꯤꯜꯀ ꯕꯠꯇꯟ ꯑꯃꯒꯤ ꯌꯥꯝꯅꯥ ꯋꯥꯡꯕꯥ, ꯗꯨꯌꯦꯂꯤꯁ꯭ꯠ ꯑꯃꯥ, ꯗꯨꯌꯦꯂꯤꯁ꯭ꯠ ꯑꯃꯥ;"
"a gentleman of the very first house, of the first and second cause. Ah,",ꯑꯍꯥꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯑꯅꯤꯁꯨꯕꯥ ꯌꯨꯃꯒꯤ ꯈ꯭ꯕꯥꯏꯗꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯌꯨꯃꯒꯤ ꯃꯔꯨꯞ ꯑꯃꯥ꯫
"the immortal passado, the punto reverso, the hay","ꯏꯃꯣꯔꯇꯦꯜ ꯄꯥꯁꯗꯣ, ꯗꯤ ꯄꯨꯟꯇꯣ ꯔꯤꯚꯥꯔꯁꯣ, ꯗꯤ ꯍꯦ"
"The pox of such antic lisping, affecting phantasies; these new tuners","ꯑꯁꯤꯒꯨꯝꯕꯥ ꯑꯦꯟꯇꯤꯇꯤꯛ ꯂꯤꯁ꯭ꯄꯤꯡꯒꯤ ꯄꯣꯛꯁ, ꯐꯦꯟꯇꯦꯁꯤꯁꯤꯡꯗꯥ ꯁꯣꯀꯍꯜꯂꯤ;"
"of accent. By Jesu, a very good blade, a very tall man, a very good",ꯑꯦꯛꯁꯦꯟꯇꯀꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯐꯝ ꯀꯌꯥ ꯊꯃꯈꯤ꯫
"whore. Why, is not this a lamentable thing, grandsire, that we should",ꯍꯨꯏ꯫
"be thus afflicted with these strange flies, these fashion-mongers,","ꯑꯁꯤꯒꯨꯝꯅꯥ ꯑꯆꯝꯕꯥ ꯎꯆꯦꯀꯁꯤꯡ ꯑꯁꯤꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯑꯋꯥꯕꯥ ꯈꯥꯉꯕꯤꯌꯨ, ꯐꯦꯁꯟ-ꯃꯣꯉ꯭ꯒꯔꯁꯤꯡ ꯑꯁꯤ,"
"these pardon-me’s, who stand so much on the new form that they cannot","ꯍꯥꯌꯔꯤꯕꯥ ꯄꯥꯔꯗꯟ-ꯃꯤ’ꯁꯤꯡ, ꯃꯈꯣꯌꯅꯥ ꯑꯅꯧꯕꯥ ꯃꯑꯣꯡ ꯑꯁꯤꯗꯥ ꯑꯁꯨꯛ ꯌꯥꯝꯅꯥ ꯂꯦꯞꯂꯤ ꯃꯗꯨꯗꯤ ꯃꯈꯣꯌꯅꯥ ꯇꯧꯕꯥ ꯉꯃꯗꯦ꯫"
"sit at ease on the old bench? O their bones, their bones!",ꯑꯔꯤꯕꯥ ꯕꯦꯟꯆ ꯑꯗꯨꯗꯥ ꯅꯨꯡꯉꯥꯏꯅꯥ ꯐꯃꯗꯨꯅꯥ ꯂꯩꯕ꯭ꯔꯥ?
"Without his roe, like a dried herring. O flesh, flesh, how art thou","ꯃꯍꯥꯛꯀꯤ ꯔꯣꯌ ꯌꯥꯑꯣꯗꯅꯥ, ꯁꯨꯃꯍꯠꯂꯕꯥ ꯍꯦꯔꯤꯡ ꯑꯃꯒꯨꯝꯅꯥ꯫"
"fishified! Now is he for the numbers that Petrarch flowed in. Laura, to",ꯐꯤꯁꯤꯐꯥꯏ ꯇꯧꯔꯕꯥ!
"his lady, was but a kitchen wench,—marry, she had a better love to","ꯃꯍꯥꯛꯀꯤ ꯂꯦꯗꯤ, ꯁꯨꯞꯅꯇꯒꯤ ꯀꯤꯆꯦꯟ ꯋꯦꯟꯆ ꯑꯃꯈꯛꯇꯅꯤ,—ꯂꯨꯍꯣꯡꯕꯥ, ꯃꯍꯥꯛꯅꯥ ꯍꯦꯟꯅꯥ ꯐꯕꯥ ꯅꯨꯡꯁꯤꯕꯥ ꯑꯃꯥ ꯂꯩꯈꯤ"
berhyme her: Dido a dowdy; Cleopatra a gypsy; Helen and Hero hildings,ꯕꯦꯔꯍꯥꯏꯝ ꯍꯦꯔ: ꯗꯤꯗꯣ ꯑꯦ ꯗꯧꯗꯤ;
"and harlots; Thisbe a grey eye or so, but not to the purpose. Signior",ꯑꯃꯁꯨꯡ ꯍꯥꯔꯂꯣꯠꯁꯤꯡ;
