en,mni-Mtei
uses force against the persons of those he makes war upon; yet it is the,ꯃꯍꯥꯛꯅꯥ ꯂꯥꯟ ꯇꯧꯔꯤꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯃꯤꯑꯣꯏꯁꯤꯡꯒꯤ ꯃꯥꯌꯣꯛꯇꯥ ꯐꯣꯔꯁ ꯁꯤꯖꯤꯟꯅꯩ;
use of force only that puts a man into the state of war: for whether by,ꯃꯤꯑꯣꯏ ꯑꯃꯕꯨ ꯂꯥꯅꯒꯤ ꯐꯤꯚꯃꯗꯥ ꯊꯝꯂꯤꯕꯥ ꯐꯣꯔꯁ ꯑꯗꯨ ꯈꯛꯇꯃꯛ ꯁꯤꯖꯤꯟꯅꯕꯥ: ꯃꯔꯃꯗꯤ
"force he begins the injury, or else having quietly, and by fraud, done","ꯐꯣꯔꯁ ꯃꯍꯥꯛꯅꯥ ꯑꯁꯣꯀꯄꯥ ꯑꯗꯨ ꯍꯧꯔꯀꯏ, ꯅꯠꯔꯕꯗꯤ ꯊꯨꯅꯥ ꯌꯥꯡꯅꯥ, ꯑꯃꯁꯨꯡ ꯁꯦꯜ ꯂꯧꯊꯣꯀꯄꯒꯤ ꯊꯕꯛ ꯇꯧꯗꯨꯅꯥ, ."
"the injury, he refuses to make reparation, and by force maintains it,","ꯑꯁꯣꯀꯄꯥ ꯑꯗꯨ, ꯃꯍꯥꯛꯅꯥ ꯔꯤꯄꯦꯔꯦꯁꯟ ꯇꯧꯕꯥ ꯉꯃꯗꯦ, ꯑꯃꯁꯨꯡ ꯐꯣꯔꯁꯅꯥ ꯃꯗꯨ ꯉꯥꯛꯇꯨꯅꯥ ꯊꯝꯂꯤ,"
"(which is the same thing, as at first to have done it by force) it is","(ꯃꯁꯤ ꯆꯞ ꯃꯥꯟꯅꯩ, ꯑꯍꯥꯅꯕꯗꯥ ꯐꯣꯔꯁꯅꯥ ꯇꯧꯈꯤꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ) ꯃꯁꯤꯅꯤ ."
the unjust use of force that makes the war: for he that breaks open my,ꯂꯥꯟ ꯑꯁꯤ ꯊꯣꯀꯍꯜꯂꯤꯕꯥ ꯐꯣꯔꯁꯀꯤ ꯑꯔꯥꯅꯕꯥ ꯁꯤꯖꯤꯟꯅꯐꯝ ꯑꯗꯨ: ꯃꯍꯥꯛꯀꯤꯗꯃꯛ ꯕ꯭ꯔꯦꯛ ꯑꯣꯄꯦꯟ ꯃꯥꯏ
"house, and violently turns me out of doors; or having peaceably got in,","ꯌꯨꯝ, ꯑꯃꯁꯨꯡ ꯍꯤꯡꯁꯥꯅꯥ ꯑꯩꯕꯨ ꯌꯨꯃꯗꯒꯤ ꯊꯣꯔꯀꯏ;"
"by force keeps me out, does in effect the same thing; supposing we are","ꯐꯣꯔꯁꯅꯥ ꯑꯩꯕꯨ ꯉꯥꯀꯊꯣꯀꯏ, ꯇꯁꯦꯡꯅꯥ ꯆꯞ ꯃꯥꯟꯅꯕꯥ ꯋꯥꯐꯝ ꯑꯗꯨ ꯇꯧꯏ;"
"in such a state, that we have no common judge on earth, whom I may","ꯑꯁꯤꯒꯨꯝꯕꯥ ꯐꯤꯚꯝ ꯑꯁꯤꯗꯥ, ꯑꯩꯈꯣꯌꯅꯥ ꯄ꯭ꯔ꯭ꯏꯊꯤꯕꯤꯗꯥ ꯀꯃꯟ ꯖꯖ ꯑꯃꯠꯇꯥ ꯂꯩꯇꯦ, ꯃꯈꯣꯌꯁꯤꯡ ꯑꯗꯨ ꯑꯩꯍꯥꯛꯅꯥ ."
"appeal to, and to whom we are both obliged to submit: for of such I am","ꯑꯄꯤꯜ ꯇꯧꯕꯥ, ꯑꯃꯁꯨꯡ ꯀꯅꯥꯒꯤꯗꯃꯛ ꯑꯩꯈꯣꯌ ꯑꯅꯤꯃꯛꯅꯥ ꯄꯤꯁꯤꯅꯕꯒꯤ ꯑꯣꯕꯂꯤꯒꯦꯁꯟ ꯂꯩꯔꯤ: ꯃꯔꯃꯗꯤ ꯑꯁꯤꯒꯨꯝꯕꯥ ꯑꯩꯍꯥꯛ ꯑꯁꯤ ."
