en,mni-Mtei
The group argued that the letter should be underscored with an oral message to Dobrynin that stated that if the missiles were not withdrawn military action would be used to remove them,ꯀꯥꯡꯂꯨꯞ ꯑꯁꯤꯅꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯆꯤꯊꯤ ꯑꯁꯤ ꯗꯣꯕ꯭ꯔꯤꯅꯤꯅꯗꯥ ꯄꯤꯕꯥ ꯋꯥꯔꯣꯜ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯐꯣꯡꯗꯣꯛꯀꯗꯕꯅꯤ ꯃꯗꯨꯗꯤ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯃꯤꯁꯥꯏꯂꯁꯤꯡ ꯑꯗꯨ ꯂꯧꯊꯣꯛꯠꯔꯕꯗꯤ ꯃꯈꯣꯌꯕꯨ ꯂꯧꯊꯣꯛꯅꯕꯥ ꯃꯤꯂꯤꯇꯔꯤ ꯑꯦꯛꯁꯟ ꯁꯤꯖꯤꯟꯅꯒꯅꯤ
Rusk added one proviso that no part of the language of the deal would mention Turkey but there would be an understanding that the missiles would be removed voluntarily in the immediate aftermath,ꯔꯁ꯭ꯀꯅꯥ ꯄ꯭ꯔꯣꯚꯤꯁꯣ ꯑꯃꯥ ꯍꯥꯄꯆꯤꯅꯈꯤ ꯃꯗꯨꯗꯤ ꯗꯤꯜ ꯑꯁꯤꯒꯤ ꯂꯣꯂꯒꯤ ꯁꯔꯨꯛ ꯑꯃꯠꯇꯥ ꯇꯨꯔꯀꯤꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯄꯜꯂꯔꯣꯏ ꯑꯗꯨꯕꯨ ꯃꯤꯁꯥꯏꯂꯁꯤꯡ ꯑꯁꯤ ꯈꯨꯗꯛꯀꯤ ꯑꯣꯏꯕꯥ ꯃꯇꯨꯡꯗꯥ ꯃꯤꯁꯥꯏꯂꯁꯤꯡ ꯑꯁꯤ ꯃꯁꯥꯅꯥ ꯌꯥꯅꯥ ꯂꯧꯊꯣꯛꯀꯅꯤ ꯍꯥꯌꯕꯒꯤ ꯋꯥꯈꯜꯂꯣꯟ ꯑꯃꯥ ꯂꯩꯒꯅꯤ
The president agreed and the message was sent,ꯔꯥꯁ꯭ꯠꯔꯄꯇꯤꯅꯥ ꯌꯥꯅꯈꯤ ꯑꯃꯁꯨꯡ ꯄꯥꯎꯖꯦꯜ ꯑꯗꯨ ꯊꯥꯈꯤ ꯫
At Rusks request Fomin and Scali met again,ꯑꯦꯠ ꯔꯁ꯭ꯀꯁ ꯔꯤꯛꯕꯦꯁ꯭ꯠ ꯐꯣꯃꯤꯟ ꯑꯃꯁꯨꯡ ꯁ꯭ꯀꯥꯂꯤ ꯑꯃꯨꯛ ꯍꯟꯅꯥ ꯎꯅꯈꯤ
Scali asked why the two letters from Khrushchev were so different and Fomin claimed it was because of poor communications,ꯁ꯭ꯀꯥꯂꯤꯅꯥ ꯍꯪꯈꯤ ꯃꯗꯨꯗꯤ ꯀꯔꯤꯒꯤꯗꯃꯛꯇꯥ ꯀ꯭ꯔꯨꯁꯦꯚꯀꯤ ꯆꯤꯊꯤ ꯑꯅꯤ ꯑꯁꯤ ꯑꯁꯨꯛ ꯌꯥꯝꯅꯥ ꯇꯣꯉꯥꯜꯂꯤꯕꯅꯣ ꯑꯃꯁꯨꯡ ꯐꯣꯃꯤꯟꯅꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯃꯁꯤ ꯄꯥꯎ ꯐꯥꯑꯣꯅꯕꯅꯥ ꯃꯔꯝ ꯑꯣꯏꯗꯨꯅꯥ ꯑꯣꯏꯕꯅꯤ
Scali replied that the claim was not credible and shouted that he thought it was a stinking double cross,ꯁ꯭ꯀꯥꯂꯤꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯈꯤ ꯃꯗꯨꯗꯤ ꯀ꯭ꯂꯦꯝ ꯑꯁꯤ ꯊꯥꯖꯕꯥ ꯌꯥꯗꯕꯥ ꯑꯃꯅꯤ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯃꯁꯤ ꯁ꯭ꯇꯤꯅꯀꯤꯡ ꯗꯕꯜ ꯀ꯭ꯔꯣꯁꯅꯤ ꯍꯥꯌꯅꯥ ꯈꯜꯂꯝꯃꯤ .
He went on to claim that an invasion was only hours away and Fomin stated that a response to the US message was expected from Khrushchev shortly and urged Scali to tell the State Department that no treachery was intended,ꯃꯍꯥꯛꯅꯥ ꯃꯈꯥ ꯇꯥꯅꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯏꯅꯚꯦꯁꯟ ꯑꯃꯥ ꯄꯨꯡ ꯀꯌꯥ ꯈꯛꯇꯃꯛ ꯂꯩꯔꯤ ꯑꯃꯁꯨꯡ ꯐꯣꯃꯤꯟꯅꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯌꯨ.ꯑꯦꯁ.
Scali said that he did not think anyone would believe him but he agreed to deliver the message,ꯁ꯭ꯀꯥꯂꯤꯅꯥ ꯍꯥꯌꯈꯤ ꯃꯗꯨꯗꯤ ꯃꯍꯥꯛꯅꯥ ꯀꯅꯥꯒꯨꯝꯕꯥ ꯑꯃꯠꯇꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯊꯥꯖꯒꯅꯤ ꯍꯥꯌꯅꯥ ꯈꯜꯂꯃꯗꯦ ꯑꯗꯨꯕꯨ ꯃꯍꯥꯛꯅꯥ ꯄꯥꯎꯖꯦꯜ ꯑꯗꯨ ꯄꯤꯅꯕꯥ ꯌꯥꯅꯈꯤ .
The two went their separate ways and Scali immediately typed out a memo for the EXCOMM,ꯑꯅꯤꯃꯛꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯇꯣꯉꯥꯅꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯆꯠꯈꯤ ꯑꯃꯁꯨꯡ ꯁ꯭ꯀꯥꯂꯤꯅꯥ ꯈꯨꯗꯛꯇꯥ ꯑꯦꯛꯁꯀꯣꯃꯒꯤꯗꯃꯛ ꯃꯦꯃꯣ ꯑꯃꯥ ꯇꯥꯏꯞ ꯇꯧꯈꯤ
Within the US establishment it was understood that ignoring the second offer and returning to the first put Khrushchev in a terrible position,ꯌꯨ.ꯑꯦꯁ.ꯀꯤ ꯏꯁ꯭ꯇꯥꯕ꯭ꯂꯤꯁꯃꯦꯟꯇꯀꯤ ꯃꯅꯨꯡꯗꯥ ꯑꯅꯤꯁꯨꯕꯥ ꯑꯣꯐꯔ ꯑꯗꯨ ꯌꯦꯡꯂꯒꯥ ꯑꯍꯥꯅꯕꯥ ꯑꯣꯏꯅꯥ ꯍꯟꯖꯤꯜꯂꯀꯄꯥ ꯀ꯭ꯔꯨꯁꯆꯦꯕꯄꯨ ꯑꯀꯤꯕꯥ ꯄꯣꯀꯍꯅꯕꯥ ꯐꯤꯚꯝ ꯑꯃꯗꯥ ꯊꯃꯈꯤ ꯍꯥꯌꯕꯥ ꯈꯉꯈꯤ꯫
