en,mni-Mtei
"arise, where could they have a fitter umpire than he, by whose care they","ꯂꯥꯀꯎ, ꯃꯈꯣꯌꯅꯥ ꯀꯗꯥꯌꯗꯥ ꯍꯦꯟꯅꯥ ꯐꯤꯠ ꯑꯣꯏꯕꯥ ꯑꯝꯄꯥꯌꯔ ꯑꯃꯥ ꯂꯩꯕꯥ ꯌꯥꯕꯒꯦ, ꯃꯈꯣꯌꯒꯤ ꯀꯦꯌꯔꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯀꯦꯌꯔ ."
"had every one been sustained and brought up, and who had a tenderness","ꯃꯤꯄꯨꯝ ꯈꯨꯗꯤꯡꯃꯛ ꯂꯦꯡꯗꯅꯥ ꯂꯩꯔꯝꯂꯕꯗꯤ ꯑꯃꯁꯨꯡ ꯄꯨꯈꯠꯂꯝꯂꯕꯗꯤ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯇꯦꯟꯗꯔ ꯑꯃꯥ ꯂꯩꯔꯝꯂꯕꯗꯤ ."
for them all? It is no wonder that they made no distinction betwixt,ꯃꯈꯣꯌ ꯄꯨꯝꯅꯃꯛꯀꯤꯗꯃꯛ?
"minority and full age; nor looked after one and twenty, or any other age",ꯃꯥꯏꯅꯣꯔꯤꯇꯤ ꯑꯃꯁꯨꯡ ꯃꯄꯨꯡ ꯐꯥꯕꯥ ꯆꯍꯤ;
"that might make them the free disposers of themselves and fortunes, when","ꯃꯗꯨꯅꯥ ꯃꯈꯣꯌꯕꯨ ꯃꯈꯣꯌ ꯃꯁꯥꯒꯤ ꯑꯃꯁꯨꯡ ꯂꯃꯆꯠ-ꯁꯥꯖꯠꯀꯤ ꯐ꯭ꯔꯤ ꯗꯤꯁꯄꯣꯖꯔꯁꯤꯡ ꯑꯣꯏꯍꯅꯕꯥ ꯌꯥꯏ, ꯀꯗꯥꯌꯗꯥ ."
they could have no desire to be out of their pupilage: the government,ꯃꯈꯣꯌꯅꯥ ꯃꯈꯣꯌꯒꯤ ꯃꯍꯩꯔꯣꯌꯁꯤꯡꯗꯒꯤ ꯂꯥꯄꯊꯣꯛꯅꯕꯥ ꯑꯄꯥꯝꯕꯥ ꯂꯩꯔꯃꯗꯦ: ꯁꯔꯀꯥꯔ
"they had been under, during it, continued still to be more their","ꯃꯈꯣꯌꯅꯥ ꯃꯈꯥꯗꯥ ꯂꯩꯔꯝꯃꯤ, ꯃꯗꯨꯒꯤ ꯃꯅꯨꯡꯗꯥ, ꯃꯈꯥ ꯇꯥꯅꯥ ꯃꯈꯣꯌꯒꯤ ."
protection than restraint; and they could no where find a greater,ꯉꯥꯀꯊꯣꯀꯄꯥ ꯉꯝꯕꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯉꯥꯀꯊꯣꯀꯄꯥ;
"security to their peace, liberties, and fortunes, than in the rule of a","ꯃꯈꯣꯌꯒꯤ ꯁꯥꯟꯇꯤ, ꯂꯤꯕꯔꯇꯤꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯂꯛꯁ꯭ꯃꯤꯁꯤꯡꯗꯥ ꯁꯦꯛꯌꯨꯔꯤꯇꯤ, ꯑꯦ."
father,ꯃꯄꯥ
