en,mni-Mtei
“Then what are you doing here?”,“ꯑꯗꯨꯗꯤ ꯃꯐꯃꯁꯤꯗꯥ ꯀꯔꯤ ꯇꯧꯔꯤꯕꯒꯦ?”
“My husband and I are staying on a visit with Dr. Seward.”,“ꯑꯩꯍꯥꯛꯀꯤ ꯃꯄꯨꯔꯣꯏꯕꯥ ꯑꯃꯁꯨꯡ ꯑꯩꯍꯥꯛ ꯗꯥꯛꯇꯔ ꯁꯦꯋꯥꯔꯗꯀꯥ ꯂꯣꯌꯅꯅꯥ ꯆꯠꯄꯥ ꯃꯇꯃꯗꯥ ꯂꯩꯔꯤ꯫”
“Then don’t stay.”,“ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯂꯩꯔꯣꯏꯗꯕꯅꯤ꯫”
“But why not?” I thought that this style of conversation might,“ꯑꯗꯨꯕꯨ ꯀꯔꯤꯒꯤꯅꯣ?”
"not be pleasant to Mrs. Harker, any more than it was to me, so I","ꯁ꯭ꯔꯤꯃꯇꯤ ꯍꯥꯔꯀꯔꯗꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯑꯣꯏꯔꯣꯏ, ꯑꯩꯒꯤꯗꯃꯛꯇꯗꯤ ꯃꯗꯨꯗꯒꯤ ꯍꯦꯟꯅꯥ, ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯑꯩ ."
joined in:—,ꯌꯥꯑꯣꯕꯥ:—
“How did you know I wanted to marry any one?” His reply was,“ꯑꯩꯅꯥ ꯀꯅꯥꯒꯨꯝꯕꯥ ꯑꯃꯒꯥ ꯂꯨꯍꯣꯡꯕꯥ ꯄꯥꯃꯈꯤꯕꯗꯨ ꯀꯔꯝꯅꯥ ꯈꯉꯈꯤꯕꯒꯦ?”
"simply contemptuous, given in a pause in which he turned his","ꯁꯨꯞꯅꯇꯒꯤ ꯃꯤꯅꯨꯡꯁꯤ ꯂꯩꯠꯔꯕꯥ, ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯇꯨꯡ ꯏꯟꯅꯕꯥ ꯄꯣꯖ ꯑꯃꯗꯥ ꯄꯤꯕꯥ ."
"eyes from Mrs. Harker to me, instantly turning them back","ꯁ꯭ꯔꯤꯃꯇꯤ ꯍꯥꯔꯀꯔꯗꯒꯤ ꯑꯩꯉꯣꯟꯗꯥ ꯃꯤꯠꯌꯦꯡ ꯊꯝꯕꯥ, ꯈꯨꯗꯛꯇꯥ ꯃꯈꯣꯌꯕꯨ ꯍꯟꯖꯤꯟ ꯍꯟꯖꯤꯟ ꯂꯥꯀꯄꯥ"
again:—,ꯑꯃꯨꯛ ꯍꯟꯅ:-
“What an asinine question!”,“ꯀꯌꯥꯗꯥ ꯑꯦꯁꯤꯅꯤꯟ ꯋꯥꯍꯪ ꯑꯃꯥ!”
"“I don’t see that at all, Mr. Renfield,” said Mrs. Harker, at once","“ꯑꯩꯍꯥꯛꯅꯥ ꯃꯗꯨ ꯃꯄꯨꯡ ꯐꯥꯅꯥ ꯎꯕꯥ ꯐꯪꯗꯦ, ꯁ꯭ꯔꯤ ꯔꯦꯅꯐꯤꯜꯗ” ꯍꯥꯌꯅꯥ ꯁ꯭ꯔꯤꯃꯇꯤ ꯍꯥꯔꯀꯔꯅꯥ ꯑꯃꯨꯛ ꯍꯟꯅꯥ ꯍꯥꯌꯔꯀꯏ꯫"
championing me. He replied to her with as much courtesy and,ꯑꯩꯕꯨ ꯆꯦꯝꯄꯤꯌꯟ ꯑꯣꯏꯔꯤ꯫
respect as he had shown contempt to me:—,ꯃꯍꯥꯛꯅꯥ ꯑꯩꯉꯣꯟꯗꯥ ꯃꯤꯅꯨꯡꯁꯤ ꯎꯠꯈꯤꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ ꯏꯀꯥꯌ ꯈꯨꯝꯅꯕꯥ:—
"“You will, of course, understand, Mrs. Harker, that when a man is","“ꯑꯗꯣꯝꯅꯥ, ꯇꯁꯦꯡꯅꯥ, ꯈꯉꯕꯤꯒꯅꯤ, ꯁ꯭ꯔꯤꯃꯇꯤ ꯍꯥꯔꯀꯔ, ꯃꯗꯨꯗꯤ ꯃꯇꯝ ꯑꯗꯨꯗꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ."
"so loved and honoured as our host is, everything regarding him","ꯑꯩꯈꯣꯌꯒꯤ ꯍꯣꯁ꯭ꯠ ꯑꯣꯏꯔꯤꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ ꯅꯨꯡꯁꯤꯕꯥ ꯑꯃꯁꯨꯡ ꯏꯀꯥꯌꯈꯨꯝꯅꯕꯥ ꯎꯠꯄꯥ, ꯃꯍꯥꯛꯀꯥ ꯃꯔꯤ ꯂꯩꯅꯕꯥ ꯄꯨꯝꯅꯃꯛ"
