en,mni-Mtei
Case Study Lean Canvas  Channels,ꯀꯦꯁ ꯁ꯭ꯇꯗꯤ ꯂꯤꯟ ꯀꯦꯅꯚꯥꯁ ꯆꯦꯅꯦꯂꯁꯤꯡ .
While the problems I outlined above were based on my own experiences I witnessed,ꯃꯊꯛꯇꯥ ꯄꯅꯈ꯭ꯔꯤꯕꯥ ꯁꯃꯁ꯭ꯌꯥꯁꯤꯡ ꯑꯁꯤ ꯑꯩꯍꯥꯛꯅꯥ ꯎꯕꯥ ꯐꯪꯈꯤꯕꯥ ꯑꯩꯍꯥꯛꯀꯤ ꯏꯁꯥꯒꯤ ꯑꯦꯛꯁꯄꯔꯤꯌꯦꯟꯁꯇꯥ ꯌꯨꯝꯐꯝ ꯑꯣꯏꯔꯒꯥ ꯁꯦꯃꯈꯤꯕꯥ ꯃꯇꯃꯗꯥ .
other startup founders recount similar stories in the workshops I was teaching That,ꯑꯇꯣꯞꯄꯥ ꯁ꯭ꯇꯥꯔꯇꯑꯞ ꯐꯥꯎꯟꯗꯔꯁꯤꯡꯅꯥ ꯑꯩꯅꯥ ꯇꯝꯕꯤꯔꯤꯕꯥ ꯋꯥꯔꯀꯁꯣꯄꯁꯤꯡ ꯑꯁꯤꯗꯥ ꯃꯥꯟꯅꯕꯥ ꯋꯥꯔꯤꯁꯤꯡ ꯅꯤꯡꯁꯤꯡꯂꯤ ꯃꯗꯨꯗꯤ
prompted me to write about Lean Canvas on my blog and also test it in a presentation I,ꯑꯩꯒꯤ ꯕ꯭ꯂꯣꯒꯇꯥ ꯂꯤꯟ ꯀꯦꯅꯚꯥꯁꯀꯤ ꯃꯇꯥꯡꯗꯥ ꯏꯕꯥ ꯑꯃꯁꯨꯡ ꯃꯁꯤꯁꯨ ꯄ꯭ꯔꯖꯦꯟꯇꯦꯁꯟ ꯑꯃꯗꯥ ꯇꯦꯁ꯭ꯠ ꯇꯧꯅꯕꯥ ꯍꯥꯌꯔꯀꯈꯤꯕꯥ ꯑꯗꯨ ꯑꯥꯏ.
gave at Capital Factorys Demo Day in Austin to a mostly investor audience Both were,ꯀꯦꯄꯤꯇꯦꯜ ꯐꯦꯛꯇꯔꯤꯁꯤꯡꯒꯤ ꯗꯦꯃꯣ ꯗꯦꯗꯥ ꯑꯣꯁ꯭ꯇꯤꯟꯗꯥ ꯑꯌꯥꯝꯕꯥ ꯏꯅꯚꯦꯁ꯭ꯇꯔ ꯑꯣꯗꯤꯁꯟꯗꯥ ꯑꯅꯤꯃꯛ ꯄꯤꯈꯤ ꯑꯅꯤꯃꯛ
well received which pushed me towards incorporating Lean Canvas in my workshops,ꯌꯥꯝꯅꯥ ꯐꯖꯅꯥ ꯐꯪꯈꯤ ꯃꯗꯨꯅꯥ ꯑꯩꯍꯥꯀꯄꯨ ꯑꯩꯍꯥꯛꯀꯤ ꯋꯥꯔꯀꯁꯣꯄꯁꯤꯡꯗꯥ ꯂꯤꯟ ꯀꯦꯅꯚꯥꯁ ꯌꯥꯑꯣꯍꯅꯕꯒꯤ ꯃꯥꯌꯀꯩꯗꯥ ꯄꯨꯁꯤꯜꯂꯀꯈꯤ
Lean Canvas was tested and refined in these presentations and workshops before it ever,ꯂꯤꯟ ꯀꯦꯅꯚꯥꯁ ꯑꯁꯤ ꯄ꯭ꯔꯦꯖꯦꯟꯇꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯋꯥꯔꯀꯁꯣꯄꯁꯤꯡ ꯑꯁꯤꯗꯥ ꯇꯦꯁ꯭ꯠ ꯇꯧꯈꯤ ꯑꯃꯁꯨꯡ ꯔꯤꯐꯥꯏꯟꯅꯥ ꯇꯧꯈꯤ ꯃꯁꯤꯒꯤ ꯃꯃꯥꯡꯗꯥ
became an online tool,ꯑꯣꯅꯂꯥꯏꯟ ꯇꯨꯜ ꯑꯃꯥ ꯑꯣꯏꯔꯀꯈꯤ꯫
My blog workshops and book are natural early channels to reach other startup,ꯑꯩꯒꯤ ꯕ꯭ꯂꯣꯒ ꯋꯥꯔꯀꯁꯣꯄꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯂꯥꯏꯔꯤꯛ ꯑꯁꯤ ꯑꯇꯣꯞꯄꯥ ꯁ꯭ꯇꯥꯔꯇꯑꯄꯁꯤꯡꯗꯥ ꯌꯧꯅꯕꯥ ꯃꯍꯧꯁꯥꯒꯤ ꯑꯣꯏꯕꯥ ꯑꯍꯥꯅꯕꯥ ꯆꯦꯅꯦꯂꯁꯤꯡꯅꯤ
founders interested in Lean StartupCustomer Development,ꯂꯤꯟ ꯁ꯭ꯇꯥꯔꯇꯑꯄꯀꯁ꯭ꯇꯃꯔ ꯗꯤꯕꯦꯂꯄꯃꯦꯟꯇꯗꯥ ꯃꯤꯠꯌꯦꯡ ꯊꯝꯕꯥ ꯐꯥꯎꯟꯗꯔꯁꯤꯡ
HOW TO FIND A PROBLEM WORTH SOLVING? 57,ꯁꯣꯜꯕ ꯇꯧꯕꯒꯤ ꯃꯊꯧ ꯇꯥꯕꯥ ꯁꯃꯁ꯭ꯌꯥ ꯑꯃꯥ ꯃꯇꯧ ꯀꯔꯝꯅꯥ ꯊꯤꯒꯅꯤ?
58    CHAPTER 2,꯵꯸ꯒꯤ ꯑꯙ꯭ꯌꯥꯌ ꯲꯫
Revenue Streams and Cost Structure,ꯔꯦꯚꯤꯟꯌꯨ ꯁ꯭ꯠꯔꯤꯝ ꯑꯃꯁꯨꯡ ꯀꯣꯁ꯭ꯠ ꯁ꯭ꯠꯔꯀꯆꯔ .
A lot of startups choose to defer the pricing question because they dont,ꯁ꯭ꯇꯥꯔꯇꯑꯞ ꯀꯌꯥ ꯑꯃꯅꯥ ꯃꯃꯜ ꯂꯦꯞꯄꯒꯤ ꯋꯥꯍꯪ ꯑꯁꯤ ꯂꯦꯄꯊꯣꯛꯅꯕꯥ ꯈꯜꯂꯤ ꯃꯔꯃꯗꯤ ꯃꯈꯣꯌꯅꯥ .
think their product is ready Something I hear a lot is that a minimum,ꯃꯈꯣꯌꯒꯤ ꯄꯣꯠꯊꯣꯛ ꯑꯗꯨ ꯁꯦꯝ ꯁꯥꯔꯦ ꯍꯥꯌꯅꯥ ꯈꯜꯂꯨ ꯑꯩꯅꯥ ꯌꯥꯝꯅꯥ ꯇꯥꯕꯥ ꯋꯥꯐꯝ ꯑꯃꯗꯤ ꯃꯤꯅꯤꯃꯝ ꯑꯣꯏꯕꯥ ꯋꯥꯐꯝ ꯑꯃꯅꯤ .
viable product is by definition embarrassingly minimal How can you,ꯚꯤꯑꯦꯕꯜ ꯄ꯭ꯔꯗꯛꯇ ꯑꯁꯤ ꯋꯥꯍꯟꯊꯣꯛꯀꯤ ꯃꯇꯨꯡ ꯏꯟꯅꯥ ꯏꯀꯥꯏꯕꯥ ꯄꯤꯕꯥ ꯌꯥꯕꯥ ꯃꯤꯅꯤꯃꯝ ꯑꯁꯤ ꯀꯔꯝꯅꯥ ꯇꯧꯕꯥ ꯌꯥꯕꯒꯦ
possibly charge for it? First a minimum viable product is not synonymous with a halfbaked or,ꯃꯁꯤꯒꯤꯗꯃꯛꯇꯥ ꯆꯥꯔꯖ ꯇꯧꯕꯥ ꯌꯥꯕꯥ?
buggy product Your MVP should address the top one to three musthave,ꯕꯥꯒꯤ ꯄ꯭ꯔꯗꯛꯇ ꯅꯍꯥꯛꯀꯤ ꯑꯦꯝ.ꯚꯤ.ꯄꯤ.
problems customers have identified as important to them By that,ꯄ꯭ꯔꯣꯕ꯭ꯂꯦꯃꯁꯤꯡ ꯀꯁ꯭ꯇꯃꯔꯁꯤꯡꯅꯥ ꯃꯈꯣꯌꯒꯤꯗꯃꯛꯇꯥ ꯃꯔꯨꯑꯣꯏꯕꯥ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯃꯁꯛ ꯈꯉꯗꯣꯛꯂꯦ ꯃꯗꯨꯗꯤ .
definition it should deliver enough value to justify charging,ꯋꯥꯍꯟꯊꯣꯛ ꯃꯁꯤꯅꯥ ꯆꯥꯔꯖ ꯇꯧꯕꯒꯤ ꯖꯁ꯭ꯇꯤꯐꯥꯏ ꯇꯧꯅꯕꯥ ꯃꯇꯤꯛ ꯆꯥꯕꯥ ꯚꯦꯜꯌꯨ ꯄꯤꯒꯗꯕꯅꯤ .
But there is another line of reasoning frequently cited for deferring pricing,ꯑꯗꯨꯕꯨ ꯃꯃꯜ ꯂꯦꯞꯄꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯌꯥꯝꯅꯥ ꯀꯟꯅꯥ ꯄꯅꯈꯤꯕꯥ ꯑꯇꯣꯞꯄꯥ ꯔꯤꯖꯅꯦꯂꯒꯤ ꯂꯥꯏꯟ ꯑꯃꯁꯨ ꯂꯩꯔꯤ .
to accelerate initial learning The argument goes that pricing creates,ꯑꯍꯥꯅꯕꯥ ꯂꯔꯅꯤꯡꯗꯥ ꯈꯣꯡꯖꯦꯜ ꯌꯥꯡꯈꯠꯍꯟꯅꯕꯥ ꯑꯥꯔꯒꯨꯃꯦꯟꯇ ꯑꯁꯤꯅꯥ ꯃꯃꯜ ꯂꯦꯞꯄꯅꯥ ꯁꯦꯝꯕꯅꯤ ꯍꯥꯌꯅꯥ ꯆꯠꯂꯤ꯫
unnecessary friction that should be avoided early on,ꯉꯟꯅꯥ ꯊꯣꯛꯇꯕꯥ ꯃꯊꯧ ꯇꯥꯗꯕꯥ ꯐ꯭ꯔꯤꯛꯁꯟ
While this strategy may work especially if you are already funded I find,ꯁ꯭ꯠꯔꯦꯇꯦꯖꯤ ꯑꯁꯤꯅꯥ ꯊꯕꯛ ꯇꯧꯕꯥ ꯌꯥꯏ ꯃꯔꯨꯑꯣꯏꯅꯥ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯅꯍꯥꯛꯅꯥ ꯍꯥꯟꯅꯅꯥ ꯐꯟꯗ ꯄꯤꯔꯕꯗꯤ ꯑꯩꯍꯥꯛꯅꯥ ꯐꯪꯂꯤ .
that it delays testing one of the riskier and critical parts of your business,ꯃꯁꯤꯅꯥ ꯅꯍꯥꯛꯀꯤ ꯕꯤꯖꯤꯅꯦꯁꯀꯤ ꯍꯦꯟꯅꯥ ꯈꯨꯗꯣꯡꯊꯤꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕꯥ ꯑꯃꯁꯨꯡ ꯃꯔꯨꯑꯣꯏꯕꯥ ꯁꯔꯨꯛ ꯑꯃꯥ ꯇꯦꯁ꯭ꯠ ꯇꯧꯕꯗꯥ ꯊꯦꯡꯊꯍꯜꯂꯤ ꯍꯥꯌꯕꯥ .
