en,mni-Mtei
Mobile Users Is Normal,ꯃꯣꯕꯥꯏꯜ ꯌꯨꯖꯔꯁꯤꯡꯅꯥ ꯅꯣꯔꯃꯦꯜ ꯑꯣꯏꯅꯥ .
2 Ibid,꯲ ꯏꯕꯤꯗ ꯇꯧꯕꯥ ꯌꯥꯏ꯫
3 Neil Patel talk at Search Engine Journal Summit Santa Monica California February 24 2015,꯳ ꯅꯤꯜ ꯄꯇꯦꯂꯒꯤ ꯋꯥꯔꯤ ꯁꯥꯅꯕꯥ ꯁꯔꯆ ꯏꯟꯖꯤꯟ ꯖꯔꯅꯦꯜ ꯁꯃꯤꯠ ꯁꯥꯟꯇꯥ ꯃꯅꯤꯀꯥ ꯀꯦꯂꯤꯐꯣꯔꯅꯤꯌꯥ ꯐꯦꯕ꯭ꯔꯨꯋꯥꯔꯤ ꯲꯴ ꯲꯰꯱꯵
retrieved at slidesharenetSearchEngineJournal1neilpatelfinal,ꯁ꯭ꯂꯥꯏꯗꯁꯦꯌꯥꯔꯅꯦꯇꯁꯔꯆ꯭ꯆꯦꯉ꯭ꯒꯤꯅꯖꯣꯔꯅꯦꯂ꯱ꯅꯤꯂꯄꯥꯇꯦꯂꯐꯥꯏꯅꯥꯂꯗꯥ ꯂꯧꯕꯥ
4 Ibid,꯴ ꯏꯕꯤꯗ ꯇꯧꯕꯥ ꯌꯥꯏ꯫
5 Growth Airbnb Driving User Growth at Airbnb April 11 2016 retrieved at,"꯵ ꯒ꯭ꯔꯣꯊ ꯑꯦꯌꯔꯕꯤꯅꯕ ꯗ꯭ꯔꯥꯏꯚꯤꯡ ꯌꯨꯖꯔ ꯒ꯭ꯔꯣꯊ ꯑꯦꯌꯔꯕꯤꯅꯕꯇꯥ ꯑꯦꯞꯔꯤꯜ ꯱꯱, ꯲꯰꯱꯶ꯇꯥ ꯂꯧꯈꯤꯕꯥ"
6 Elman 3 Growth Hacks,꯶ ꯑꯦꯂꯝꯌꯥꯟ ꯳ ꯒ꯭ꯔꯣꯊ ꯍꯦꯀꯁꯤꯡ .
7 John Egan Measuring for Engagement Understanding User Gains Losses  Levels of Interaction,꯷ ꯖꯣꯟ ꯏꯒꯥꯟ ꯑꯦꯉ꯭ꯒꯦꯖꯃꯦꯟꯇꯀꯤꯗꯃꯛ ꯃꯥꯄꯂꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯂꯧꯁꯤꯅꯕꯥ ꯌꯨꯖꯔꯅꯥ ꯏꯟꯇꯔꯦꯛꯁꯅꯒꯤ ꯂꯣꯁꯁꯤꯡ ꯒꯦꯏꯟ ꯇꯧꯕꯥ ꯌꯥꯏ
August 12 2014 retrieved at youtubecomwatch?vNghOllGvv4E,ꯑꯣꯒꯁ꯭ꯠ ꯱꯲ ꯲꯰꯱꯴ꯗꯥ youtubecomwatch?vnghollgvvv4e ꯗꯥ ꯂꯧꯈꯤꯕꯥ ꯋꯥꯔꯣꯜ
8 Neil Patel talk at Search Engine Journal Summit slidesharenetSearchEngineJournal1neilpatel,8 ꯅꯤꯜ ꯄꯇꯦꯂꯒꯤ ꯋꯥꯔꯤ ꯁꯥꯅꯕꯥ ꯁꯔꯆ ꯏꯟꯖꯤꯟ ꯖꯔꯅꯦꯜ ꯁꯃꯤꯠ ꯁ꯭ꯂꯥꯏꯗꯁꯦꯌꯥꯔꯅꯦꯇꯁꯔꯆ꯭ꯆꯦꯉ꯭ꯒꯤꯅꯦꯖꯣꯔꯅꯂ꯱ꯅꯤꯂꯄꯦꯇꯦꯜ
final,ꯐꯥꯏꯅꯦꯜ ꯑꯣꯏꯕꯥ ꯌꯥꯏ꯫
9 How Adobe Converted Free Trial Downloads into Satisfied Customers Bunchball blog 2016,9 ꯑꯦꯗꯣꯕꯅꯥ ꯐ꯭ꯔꯤ ꯇ꯭ꯔꯥꯏꯑꯦꯜ ꯗꯥꯎꯅꯂꯣꯗꯁꯤꯡ ꯑꯁꯤ ꯁꯦꯇꯤꯁꯐꯥꯏꯗ ꯀꯁ꯭ꯇꯃꯔꯁꯤꯡꯗꯥ ꯀꯔꯝꯅꯥ ꯑꯣꯟꯊꯣꯀꯈꯤꯕꯒꯦ Bunchball Blog 2016
bunchballcomcustomersadobe,ꯕꯟꯆꯕꯣꯂꯀꯣꯃꯀꯁ꯭ꯇꯃꯔꯁꯗꯣꯕ
10 Adam Kleinberg Brands That Failed with Gamification iMedia July 25 2012,꯱꯰ ꯑꯦꯗꯝ ꯀ꯭ꯂꯦꯏꯅꯕꯔꯒ ꯕ꯭ꯔꯥꯟꯗꯁ ꯊ꯭ꯌꯥꯠ ꯐꯦꯏꯜ ꯇꯧꯔꯕꯥ ꯒꯦꯃꯤꯐꯤꯀꯦꯁꯟ ꯏꯃꯤꯗꯤꯌꯥ ꯖꯨꯂꯥꯏ ꯲꯵ ꯲꯰꯱꯲
