en,mni-Mtei
"to tea. Bring back some milk, cakes, honey. The change will do you",ꯆꯥꯗꯥ ꯆꯠꯄꯥ꯫
good. George has been working very hard at his office. I can’t believe,ꯑꯐꯕ.
he’s well.”,ꯃꯍꯥꯛ ꯐꯅꯥ ꯂꯩꯔꯤ꯫”
"George bowed his head, dusty and sombre, exhaling the peculiar smell of","ꯖꯔꯖꯅꯥ ꯃꯀꯣꯛ ꯊꯣꯡꯅꯥ ꯅꯣꯀꯈꯤ, ꯃꯩꯈꯨ ꯆꯦꯟꯗꯕꯥ ꯑꯃꯁꯨꯡ ꯁꯣꯃꯕ꯭ꯔꯦꯟ ꯇꯧꯈꯤ, ꯃꯗꯨꯒꯤ ꯑꯈꯟꯅꯕꯥ ꯃꯃꯤ ꯑꯗꯨ ꯊꯀꯈꯤ꯫"
one who has handled furniture,ꯐꯔꯅꯤꯆꯔ ꯍꯦꯟꯗꯜ ꯇꯧꯔꯕꯥ ꯑꯃꯅꯥ .
"“Do you really want this bathe?” Freddy asked him. “It is only a pond,",“ꯑꯗꯣꯝ ꯇꯁꯦꯡꯅꯥ ꯃꯁꯤꯒꯤ ꯕꯥꯊ ꯑꯁꯤ ꯄꯥꯝꯕꯤꯕꯔꯥ?”
don’t you know. I dare say you are used to something better.”,ꯅꯉꯅꯥ ꯈꯉꯂꯃꯗ꯭ꯔꯥ꯫
“Yes—I have said ‘Yes’ already.”,“ꯍꯣꯌ—ꯑꯩꯅꯥ ꯍꯥꯟꯅꯗꯒꯤ ‘ꯍꯣꯌ’ ꯍꯥꯌꯈ꯭ꯔꯦ꯫”
"Mr. Beebe felt bound to assist his young friend, and led the way out of","ꯁ꯭ꯔꯤ ꯕꯤꯕꯦꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯃꯔꯨꯞ ꯑꯗꯨꯕꯨ ꯃꯇꯦꯡ ꯄꯥꯡꯒꯅꯤ ꯍꯥꯌꯅꯥ ꯊꯥꯖꯕꯥ ꯊꯃꯈꯤ, ꯑꯃꯁꯨꯡ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯂꯝꯕꯤ ꯑꯗꯨ ꯂꯨꯆꯤꯡꯈꯤ꯫"
the house and into the pine-woods. How glorious it was! For a little,ꯌꯨꯝ ꯑꯗꯨ ꯑꯃꯁꯨꯡ ꯄꯥꯏꯟ-ꯎꯗꯁꯤꯡꯗꯥ꯫
time the voice of old Mr. Emerson pursued them dispensing good wishes,ꯃꯇꯝ ꯑꯔꯤꯕꯥ ꯁ꯭ꯔꯤ ꯏꯃꯥꯔꯁꯅꯒꯤ ꯈꯣꯟꯖꯦꯜ ꯑꯗꯨꯅꯥ ꯃꯈꯣꯌꯗꯥ ꯑꯐꯕꯥ ꯋꯥꯁꯀꯁꯤꯡ ꯄꯤꯁꯤꯅꯈꯤ
"and philosophy. It ceased, and they only heard the fair wind blowing",ꯑꯃꯁꯨꯡ ꯐꯤꯂꯣꯁꯣꯐꯤꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯐꯝ ꯀꯌꯥ ꯊꯃꯈꯤ꯫
"the bracken and the trees. Mr. Beebe, who could be silent, but who",ꯕ꯭ꯔꯦꯀꯦꯟ ꯑꯃꯁꯨꯡ ꯎꯄꯥꯂꯁꯤꯡ꯫
"could not bear silence, was compelled to chatter, since the expedition","could bear silence, ꯑꯁꯤ ꯆꯦꯇꯔꯗꯥ ꯇꯀꯁꯤꯅꯈꯤ, ꯑꯦꯛꯁꯄꯤꯗꯤꯁꯟ"
"looked like a failure, and neither of his companions would utter a","ꯃꯥꯌ ꯄꯥꯀꯄꯥ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯎꯈꯤ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯃꯔꯨꯞ ꯑꯃꯠꯇꯅꯥ ꯑꯦ."
"word. He spoke of Florence. George attended gravely, assenting or",ꯋꯥꯍꯩ.
dissenting with slight but determined gestures that were as,ꯑꯦ.ꯑꯦꯁ.ꯀꯤ ꯃꯑꯣꯡꯗꯥ ꯂꯩꯕꯥ ꯈꯔꯥ ꯑꯗꯨꯕꯨ ꯂꯦꯞꯄꯥ ꯂꯩꯇꯅꯥ ꯂꯦꯞꯄꯥ ꯂꯩꯇꯅꯥ ꯖꯤꯖꯔꯁꯤꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯗꯤꯁꯦꯟꯇꯤꯡ ꯇꯧꯕꯥ
inexplicable as the motions of the tree-tops above their heads,ꯃꯈꯣꯌꯒꯤ ꯃꯀꯣꯀꯁꯤꯡꯒꯤ ꯃꯊꯛꯇꯥ ꯂꯩꯕꯥ ꯎꯄꯥꯂꯁꯤꯡꯒꯤ ꯃꯣꯁꯅꯁꯤꯡ ꯑꯣꯏꯅꯥ ꯐꯣꯡꯗꯣꯀꯄꯥ ꯉꯃꯗꯕꯥ .
“And what a coincidence that you should meet Mr. Vyse! Did you realize,“ꯑꯗꯨꯒꯥ ꯑꯗꯣꯝꯅꯥ ꯁ꯭ꯔꯤ ꯋꯥꯏꯁꯦꯒꯥ ꯎꯅꯒꯗꯕꯥ ꯑꯁꯤ ꯀꯌꯥꯗꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯋꯥꯐꯝ ꯑꯃꯅꯣ!
that you would find all the Pension Bertolini down here?”,ꯃꯐꯝ ꯑꯁꯤꯗꯥ ꯄꯦꯟꯁꯟ ꯕꯦꯔꯇꯣꯂꯤꯅꯤ ꯄꯨꯝꯅꯃꯛ ꯊꯦꯡꯅꯒꯅꯤ ꯍꯥꯌꯕꯥ?”
“I did not. Miss Lavish told me.”,“ꯑꯩꯅꯥ ꯇꯧꯈꯤꯗꯦ꯫ ꯃꯤꯁ ꯂꯥꯚꯤꯁꯅꯥ ꯑꯩꯉꯣꯟꯗꯥ ꯍꯥꯌꯈꯤ꯫”
"“When I was a young man, I always meant to write a ‘History of",“ꯑꯩꯍꯥꯛ ꯅꯍꯥ ꯑꯣꯏꯔꯤꯉꯩ ꯃꯇꯃꯗꯥ ꯑꯩꯍꯥꯛꯅꯥ ꯃꯇꯝ ꯄꯨꯝꯅꯃꯛꯇꯥ ‘ꯍꯤꯁ꯭ꯇꯔꯤ ꯑꯣꯐ .
Coincidence.’”,"ꯇꯥꯟ ꯆꯥꯟꯅꯕ.'"""
No enthusiasm,ꯊꯋꯥꯏ ꯌꯥꯑꯣꯗꯕꯥ .
"“Though, as a matter of fact, coincidences are much rarer than we","“ꯇꯁꯦꯡꯅꯥ ꯍꯥꯌꯔꯕꯗꯥ, ꯀꯣꯏꯁꯤꯗꯦꯟꯁ ꯑꯁꯤ ꯑꯩꯈꯣꯌꯗꯒꯤ ꯌꯥꯝꯅꯥ ꯍꯦꯟꯅꯥ ꯅꯦꯝꯃꯤ ."
"suppose. For example, it isn’t purely coincidentally that you are here",ꯀꯔꯤꯒꯨꯝꯕ ꯑꯃ ꯑꯣꯏꯔꯁꯤ ꯍꯥꯏꯅ ꯈꯅꯁꯤ.
