en,mni-Mtei
The NNC leaders considered her actions an obstacle to their own movement,ꯑꯦꯟ.ꯑꯦꯟ.ꯁꯤ.ꯒꯤ ꯂꯨꯆꯤꯡꯕꯁꯤꯡꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯊꯕꯀꯁꯤꯡ ꯑꯁꯤ ꯃꯈꯣꯌ ꯃꯁꯥꯒꯤ ꯈꯣꯡꯖꯪꯗꯥ ꯑꯀꯥꯌꯕꯥ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯂꯧꯈꯤ
The Baptist leaders deemed the Heraka revival movement antiChristian and she was warned of serious consequences if she were not to change her stand,ꯕꯥꯞꯇꯤꯁ꯭ꯠ ꯂꯨꯆꯤꯡꯕꯁꯤꯡꯅꯥ ꯍꯦꯔꯥꯀꯥ ꯔꯤꯚꯥꯏꯕꯜ ꯃꯨꯕꯃꯦꯟꯇ ꯑꯦꯟꯇꯤꯈ꯭ꯔꯤꯁ꯭ꯇꯤꯌꯥꯟ ꯑꯣꯏꯅꯥ ꯂꯧꯈꯤ ꯑꯃꯁꯨꯡ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯁ꯭ꯠꯌꯥꯟꯗ ꯍꯣꯡꯗꯣꯀꯄꯥ ꯇꯥꯔꯕꯗꯤ ꯌꯥꯝꯅꯥ ꯁꯥꯊꯤꯕꯥ ꯐꯂꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯆꯦꯀꯁꯤꯅꯋꯥ ꯄꯤꯈꯤ
In order to defend the Heraka culture and to strengthen her position she went underground in 1960,ꯍꯦꯔꯥꯀꯥ ꯀꯂꯆꯔꯕꯨ ꯉꯥꯀꯊꯣꯛꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯄꯣꯖꯤꯁꯟ ꯑꯗꯨ ꯃꯄꯥꯉ꯭ꯒꯜ ꯀꯅꯈꯠꯍꯟꯅꯕꯥ ꯃꯍꯥꯛꯅꯥ ꯱꯹꯶꯰ꯗꯥ ꯃꯥꯂꯦꯃꯒꯤ ꯃꯈꯥꯗꯥ ꯆꯠꯈꯤ ꯫
In 1966 after six years of hard underground life in old age under an agreement with the Government of India Rani Gaidinliu came out from her jungle hideout to work for the betterment of her people through peaceful democratic and nonviolent means,꯱꯹꯶꯶ꯇꯥ ꯚꯥꯔꯠ ꯁꯔꯀꯥꯔꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯌꯥꯅꯈꯤꯕꯥ ꯌꯥꯅꯈꯤꯕꯥ ꯑꯃꯒꯤ ꯃꯈꯥꯗꯥ ꯑꯍꯜ ꯑꯣꯏꯔꯀꯄꯒꯤ ꯆꯍꯤ ꯶ ꯁꯨꯔꯕꯥ ꯃꯇꯨꯡꯗꯥ ꯔꯥꯅꯤ ꯒꯥꯏꯗꯤꯅꯂꯤꯌꯨꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯖꯉ꯭ꯒꯂꯒꯤ ꯂꯣꯠꯁꯤꯜꯂꯕꯥ ꯃꯐꯝ ꯑꯗꯨꯗꯒꯤ ꯁꯥꯟꯇꯤ ꯂꯩꯕꯥ ꯗꯦꯃꯣꯛꯔꯦꯇꯤꯛ ꯑꯃꯁꯨꯡ ꯅꯟ-ꯍꯤꯡꯁꯥꯒꯤ ꯄꯥꯝꯕꯩꯁꯤꯡꯒꯤ ꯈꯨꯠꯊꯥꯡꯗꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯤꯌꯥꯃꯒꯤ ꯌꯥꯏꯐꯅꯕꯥ ꯊꯕꯛ ꯇꯧꯅꯕꯥ ꯂꯥꯀꯈꯤ
She went to Kohima on 20 January 1966 and met the Prime Minister Lal Bahadur Shastri in Delhi on 21 February 1966 demanding the creation of a separate Zeliangrong administrative unit,ꯃꯍꯥꯛꯅꯥ ꯱꯹꯶꯶ꯀꯤ ꯖꯅꯨꯋꯥꯔꯤ ꯲꯰ꯗꯥ ꯀꯣꯍꯤꯃꯥꯗꯥ ꯆꯠꯈꯤ ꯑꯃꯁꯨꯡ ꯱꯹꯶꯶ꯀꯤ ꯐꯦꯕ꯭ꯔꯨꯋꯥꯔꯤ ꯲꯱ꯗꯥ ꯗꯤꯜꯂꯤꯗꯥ ꯂꯩꯕꯥ ꯄ꯭ꯔꯙꯥꯟ ꯃꯟꯠꯔꯤ ꯂꯥꯜ ꯕꯥꯍꯥꯗꯨꯔ ꯁꯥꯁ꯭ꯠꯔꯤꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯇꯣꯉꯥꯅꯕꯥ ꯖꯦꯂꯤꯌꯅꯒ꯭ꯔꯣꯡ ꯑꯦꯗꯃꯤꯅꯤꯁ꯭ꯠꯔꯦꯇꯤꯕ ꯌꯨꯅꯤꯠ ꯑꯃꯥ ꯁꯦꯝꯅꯕꯥ ꯍꯥꯌꯖꯈꯤ
On 24 September 320 of her followers surrendered at Henima,ꯁꯦꯞꯇꯦꯝꯕꯔ ꯲꯴ꯗꯥ ꯃꯍꯥꯛꯀꯤ ꯐꯣꯂꯣꯋꯔꯁꯤꯡꯒꯤ ꯃꯅꯨꯡꯗꯥ ꯳꯲꯰ ꯍꯦꯅꯤꯃꯥꯗꯥ ꯁꯔꯦꯟꯗꯔ ꯇꯧꯈꯤ
Some of them were absorbed into the Nagaland Armed Police,ꯃꯈꯣꯌ ꯈꯔꯗꯤ ꯅꯥꯒꯥꯂꯦꯟꯗꯒꯤ ꯈꯨꯠꯂꯥꯌ ꯄꯥꯌꯕꯥ ꯄꯨꯂꯤꯁꯇꯥ ꯁꯣꯀꯍꯅꯈꯤ
During her stay at Kohima she was conferred Tamrapatra Freedom Fighter Award in 1972 the Padma Bhushan 1982 and the Vivekananda Seva Award 1983,ꯀꯣꯍꯤꯃꯥꯗꯥ ꯂꯩꯈꯤꯕꯥ ꯃꯇꯃꯗꯥ ꯃꯍꯥꯀꯄꯨ ꯱꯹꯷꯲ꯗꯥ ꯇꯃꯔꯄꯠꯔ ꯐ꯭ꯔꯤꯗꯝ ꯐꯥꯏꯇꯔ ꯑꯦꯋꯥꯔꯗ ꯄꯤꯈꯤꯕꯗꯥ ꯄꯗ꯭ꯃꯥ ꯚꯨꯁꯟ ꯱꯹꯸꯲ ꯑꯃꯁꯨꯡ ꯕꯤꯕꯦꯀꯥꯅꯟꯗ ꯁꯦꯚꯥ ꯑꯦꯋꯥꯔꯗ ꯱꯹꯸꯳ꯗꯥ ꯄꯤꯈꯤ꯫
Tamrapatra Freedom Fighter Award1972 Padma Bhushan1982 Vivekananda Seva Award1983 Birsa Munda Awardposthumously In 1991 Gaidinliu returned to her birthplace Longkao where she died on 17 February 1993 at the age of 78,ꯇꯥꯃꯔꯥꯄꯥꯠꯔ ꯐ꯭ꯔꯤꯗꯝ ꯐꯥꯏꯇꯔ ꯑꯦꯋꯥꯔꯗ1972 ꯄꯗ꯭ꯃꯥ ꯚꯨꯁꯟ1982 ꯕꯤꯕꯦꯀꯥꯅꯟꯗ ꯁꯦꯚꯥ ꯑꯦꯋꯥꯔꯗ1983 ꯕꯤꯔꯁꯥ ꯃꯨꯟꯗꯥꯅꯥ 1991ꯗꯥ ꯒꯥꯏꯗꯤꯅꯂꯤꯌꯨꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯄꯣꯀꯐꯝ ꯂꯣꯡꯀꯥꯑꯣꯗꯥ ꯍꯜꯂꯀꯈꯤ ꯃꯐꯝ ꯑꯗꯨꯗꯥ ꯃꯍꯥꯛ ꯆꯍꯤ ꯷꯸ ꯁꯨꯔꯀꯄꯗꯥ 17 ꯐꯦꯕ꯭ꯔꯨꯋꯥꯔꯤ 1993ꯗꯥ ꯁꯤꯈꯤ꯫
The Governor of Manipur Chintamani Panigrahi the Home Secretary of Nagaland officials from Manipur and many people from all parts of the North Eastern region attended her funeral at her native village,ꯃꯅꯤꯄꯨꯔ ꯆꯤꯟꯇꯥꯃꯅꯤ ꯄꯥꯅꯤꯒ꯭ꯔꯥꯍꯤꯒꯤ ꯒꯕꯔꯅꯔꯅꯥ ꯃꯅꯤꯄꯨꯔꯗꯒꯤ ꯂꯥꯀꯄꯥ ꯅꯥꯒꯥꯂꯦꯟꯗꯒꯤ ꯑꯣꯐꯤꯁꯤꯑꯦꯂꯁꯤꯡꯒꯤ ꯍꯣꯝ ꯁꯦꯛꯔꯦꯇꯔꯤ ꯑꯃꯁꯨꯡ ꯑꯋꯥꯡ ꯅꯣꯡꯄꯣꯛ ꯂꯃꯗꯃꯒꯤ ꯃꯐꯝ ꯈꯨꯗꯤꯡꯃꯛꯇꯒꯤ ꯃꯤꯑꯣꯏ ꯀꯌꯥꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯄꯣꯛ ꯅꯨꯃꯤꯠꯇꯥ ꯃꯍꯥꯛꯀꯤ ꯑꯔꯣꯏꯕꯥ ꯈꯨꯉ꯭ꯒꯪꯗꯥ ꯁꯔꯨꯛ ꯌꯥꯈꯤ
