en,mni-Mtei
Vaishnavite Hinduism was the state religion of the Kingdom of Manipur,ꯕꯩꯁ꯭ꯅꯕꯤꯠ ꯍꯤꯟꯗꯨ ꯙꯔꯝꯃ ꯑꯁꯤ ꯃꯅꯤꯄꯨꯔꯒꯤ ꯅꯤꯡꯊꯧ ꯂꯩꯕꯥꯛꯀꯤ ꯔꯥꯖ꯭ꯌꯒꯤ ꯙꯔꯝꯃꯅꯤ .
In 1704 Meitei King Charairongba accepted Vaishnavism and changed his traditional Meitei name into Hindu name Pitambar Singh,꯱꯷꯰꯴ꯗꯥ ꯃꯦꯏꯇꯦꯏ ꯅꯤꯡꯊꯧ ꯆꯩꯔꯥꯡꯒꯕꯥꯅꯥ ꯕꯩꯁ꯭ꯅꯕꯤꯁꯄꯨ ꯌꯥꯈꯤ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯇ꯭ꯔꯦꯗꯤꯁꯅꯦꯜ ꯃꯦꯏꯇꯦꯏ ꯃꯤꯡ ꯍꯤꯟꯗꯨ ꯃꯤꯡ ꯄꯤꯇꯥꯝꯕꯔ ꯁꯤꯡꯍ ꯍꯥꯌꯅꯥ ꯍꯣꯡꯗꯣꯀꯈꯤ꯫
However the first Hindu temples were constructed much earlier,ꯑꯗꯨꯝ ꯑꯣꯏꯅꯃꯛ ꯑꯍꯥꯅꯕꯥ ꯍꯤꯟꯗꯨ ꯃꯟꯗꯤꯔꯁꯤꯡ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯉꯟꯅꯥ ꯁꯥꯈꯤꯕꯅꯤ .
A copper plate excavated from Phayeng dating back to 763 CE believed to be of the reign of Meitei King Khongtekcha was found to contain inscriptions about the Hindu deities in Sanskrit words,ꯐꯥꯌꯦꯡꯗꯒꯤ ꯈꯣꯃꯖꯤꯜꯂꯀꯄꯥ ꯊꯥꯑꯣꯒꯤ ꯄ꯭ꯂꯦꯠ ꯑꯃꯥ ꯷꯶꯳ ꯁꯤ.ꯏ.ꯗꯥ ꯊꯥꯔꯀꯄꯥ ꯃꯦꯏꯇꯦꯏ ꯅꯤꯡꯊꯧ ꯈꯣꯡꯎꯇꯦꯀꯆꯥꯒꯤ ꯂꯩꯉꯥꯛ ꯑꯣꯏꯅꯥ ꯊꯥꯖꯕꯥ ꯌꯥꯕꯥ ꯑꯣꯏꯅꯥ ꯊꯥꯖꯕꯥ ꯌꯥꯕꯥ ꯍꯤꯟꯗꯨ ꯗꯦꯕꯇꯥꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯔꯤ ꯁꯥꯅꯕꯥ ꯌꯥꯑꯣꯈꯤ ꯍꯥꯌꯅꯥ ꯊꯥꯖꯕꯥ ꯊꯃꯈꯤ
During the 13th century Meitei King Khumomba constructed a Lord Hanuman temple,꯱꯳ꯁꯨꯕꯥ ꯆꯍꯤꯆꯥꯒꯤ ꯃꯇꯃꯗꯥ ꯃꯦꯏꯇꯦ ꯀꯤꯡ ꯈꯨꯝꯝꯕꯥꯅꯥ ꯚꯒꯕꯥꯟ ꯍꯅꯨꯃꯥꯟ ꯃꯟꯗꯤꯔ ꯑꯃꯥ ꯁꯥꯈꯤ ꯫
The Vishnu temple at Lamangdong was constructed during 1474 CE during the reign of Meitei King Kiyamba by Brahmins immigrating from the neighborhood Shan State,ꯂꯃꯗꯝ ꯑꯁꯤꯗꯒꯤ ꯂꯥꯀꯄꯥ ꯕ꯭ꯔꯍ꯭ꯃꯅꯁꯤꯡꯅꯥ ꯃꯦꯏꯇꯦꯏ ꯀꯤꯡ ꯀꯤꯌꯝꯕꯀꯤ ꯃꯇꯃꯗꯥ ꯁꯤ.ꯁꯤ.ꯏ.ꯒꯤ ꯃꯇꯃꯗꯥ ꯂꯃꯥꯡꯗꯣꯡꯗꯥ ꯂꯩꯕꯥ ꯕꯤꯁ꯭ꯅꯨ ꯂꯥꯏꯁꯉ ꯑꯁꯤ ꯌꯨꯃꯂꯣꯟꯅꯕꯥ ꯁꯥꯟ ꯔꯥꯖ꯭ꯌꯗꯒꯤ ꯂꯥꯀꯄꯥ ꯕ꯭ꯔꯍ꯭ꯃꯅꯁꯤꯡꯅꯥ ꯁꯦꯃꯈꯤꯕꯅꯤ꯫
As per the legends the temple was constructed to house the Vishnu emblem given to King Kiyamba by King Khekhomba of Shan,ꯂꯤꯖꯦꯟꯁꯁꯤꯡꯒꯤ ꯃꯇꯨꯡ ꯏꯟꯅꯥ ꯂꯥꯏꯁꯉ ꯑꯁꯤ ꯁꯥꯅꯒꯤ ꯅꯤꯡꯊꯧ ꯈꯦꯈꯣꯃꯕꯥꯅꯥ ꯅꯤꯡꯊꯧ ꯀꯤꯌꯝꯕꯥꯗꯥ ꯄꯤꯈꯤꯕꯥ ꯕꯤꯁ꯭ꯅꯨꯒꯤ ꯃꯁꯛ ꯑꯗꯨ ꯊꯝꯅꯕꯥ ꯁꯦꯃꯈꯤꯕꯅꯤ꯫
Phurailatpam Shubhi Narayan was the first Brahmin priest of this temple,ꯐꯨꯔꯥꯏꯂꯥꯇꯄꯥꯝ ꯁꯨꯚꯤ ꯅꯥꯔꯥꯌꯟ ꯑꯁꯤ ꯂꯥꯏꯁꯉ ꯑꯁꯤꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯕ꯭ꯔꯍ꯭ꯃꯟ ꯄꯨꯔꯣꯍꯤꯠꯅꯤ
Christianity is the religion of 41 of the people in the state but is the majority in rural areas with 53 and is predominant in the hills,ꯈ꯭ꯔ꯭ꯏꯁ꯭ꯠꯌꯥꯅꯒꯤ ꯊꯥꯖꯕꯥ ꯑꯁꯤ ꯔꯥꯖ꯭ꯌ ꯑꯁꯤꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯃꯤꯑꯣꯏ ꯴꯱ꯒꯤ ꯃꯅꯨꯡꯗꯥ ꯴꯱ꯒꯤ ꯙꯔꯝꯃꯅꯤ ꯑꯗꯨꯕꯨ ꯈꯨꯉ꯭ꯒꯪꯒꯤ ꯃꯐꯃꯁꯤꯡꯗꯥ ꯵꯳ ꯂꯩꯕꯥ ꯑꯃꯁꯨꯡ ꯍꯤꯂꯁꯇꯥ ꯍꯦꯟꯅꯥ ꯃꯔꯨ ꯑꯣꯏꯕꯥ ꯑꯁꯤ .
It was brought by Protestant missionaries to Manipur in the 19th century,ꯃꯁꯤ ꯄ꯭ꯔꯣꯇꯦꯁ꯭ꯇꯦꯟꯇ ꯃꯤꯁꯅꯔꯤꯁꯤꯡꯅꯥ ꯱꯹ꯁꯨꯕꯥ ꯆꯍꯤꯆꯥꯗꯥ ꯃꯅꯤꯄꯨꯔꯗꯥ ꯄꯨꯔꯀꯈꯤꯕꯅꯤ
